VEICULOS;PLACA;RENAVAM;OBSERVAÇÕES;DATA;DONO;SITUAÇÃO;VALOR DE COMPRA R$
VW PARATI 1.6 2010/2010;MSR7129;195213041;ENTREGUE A ROBINHO 17/11/2020;17/11/2020;;FINALIZADO;
VW GOL 1.0 2010/2011 CINZA;MTS3C06;279765169;ENTREGUE A ROBINHO 17/11/2020.ROBINHO ENTREGOU 07.12.2020;17/11/2020, 07/12/2020;;FINALIZADO;
GM ONIX 1.4 MT LT 2013/2014;OYD3982;992808510;COMPRADO NA ATLANTICA RENAULT. ENTROU NA LOJA DIA 17/11/2020;17/11/2020;;FINALIZADO;R$ 32.000,00
FORD FOCUS 1.6 FLEX HATCH 2007/2008 PRATA;MRP9J51;938427504;VEICULO ENTROU NO DIA 16/11/2020 NA TROCA DO FIESTA 1.6 11/12 HFI9B06.;16/11/2020;;FINALIZADO;
TOYOTA COROLLA XEI 1.8 VVT 2003/2004 PRATA;MPI2C38;813910587;EM NOME DA MULT COMERCIO DE VEICULOS. ENTREGUE DIA 16.12.2020;16/12/2020;;FINALIZADO;
VW VOYAGE 1.0 2012/2013 BRANCO;ODJ8656;472099574;EM NOME DA KURUMA VEICULOS SERRA. ENTREGUE A ROBINHO DIA 04.12.2020;12/04/2020;;FINALIZADO;
GM ASTRA HB 4P ADVANTAGE 2008/2008 PRATA;MSK7D21;990748790;VEICULO ADQUIRIDO NO DIA 29/10/2020 NA TROCA DO FIAT IDEA 2009/2010;29/10/2020;;TRANSFERIDO DIRETO PRO CLIENTE;
FORD KA GL IMAGE 2000/2000 PRETO;GYJ4C69;740697544;VEICULO ADQUIRIDO NO DIA 06/11/2020 NA TROCA DO FIESTA 11/12 NZL2A45;11/06/2020;;COMUNICADO;
FIAT IDEA ELX FLEX 2009/2010 PRATA;JHP0100;17161647;VEICULO EM PROCESSO DE TRANSFERENCIA;;;FINALIZADO;
GM CLASSIC SPIRIT 2009/2009 PRETO;MSS4710;145539571;EM PROCESSO DE TRANSFERENCIA - 2 VIA DA LOJA;;;FINALIZADO;
RENAULT SANDERO EXP 2011/2012 PRETO;ODD7740;451128656;VEICULO ESTA COM LEASING BAIXADO;;;FINALIZADO;
